air_store_id,visit_date,reserve_visitors,hpg_store_id
air_00a91d42b08b08d9,2016-10-31,2,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2016-12-05,9,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2016-12-14,18,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2016-12-17,2,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2016-12-20,4,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-02-18,9,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-02-23,12,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-03-01,3,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-03-14,4,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-03-21,3,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-03-24,2,hpg_fbe603376b5980fc
air_00a91d42b08b08d9,2017-04-04,2,hpg_fbe603376b5980fc
air_0164b9927d20bcc3,2016-10-28,12,
air_0164b9927d20bcc3,2016-11-01,10,
air_0164b9927d20bcc3,2016-11-02,3,
air_0164b9927d20bcc3,2016-11-08,9,
air_0164b9927d20bcc3,2016-11-10,6,
air_0164b9927d20bcc3,2016-11-11,4,
air_0164b9927d20bcc3,2016-11-14,17,
air_0164b9927d20bcc3,2016-11-15,3,
air_0164b9927d20bcc3,2016-11-16,2,
air_0164b9927d20bcc3,2016-11-18,13,
air_0164b9927d20bcc3,2016-11-21,3,
air_0164b9927d20bcc3,2016-11-22,9,
air_0164b9927d20bcc3,2016-11-24,2,
air_0164b9927d20bcc3,2016-11-26,10,
air_0164b9927d20bcc3,2016-11-28,2,
air_0164b9927d20bcc3,2016-12-02,3,
air_0164b9927d20bcc3,2016-12-05,4,
air_0164b9927d20bcc3,2016-12-06,2,
air_0164b9927d20bcc3,2016-12-07,2,
air_0164b9927d20bcc3,2016-12-08,9,
air_0164b9927d20bcc3,2016-12-14,2,
air_0164b9927d20bcc3,2016-12-15,15,
air_0164b9927d20bcc3,2016-12-16,6,
air_0164b9927d20bcc3,2016-12-19,2,
air_0164b9927d20bcc3,2016-12-21,2,
air_0164b9927d20bcc3,2016-12-22,7,
air_0164b9927d20bcc3,2016-12-23,2,
air_0164b9927d20bcc3,2016-12-26,2,
air_0164b9927d20bcc3,2016-12-27,3,
air_0164b9927d20bcc3,2017-01-06,3,
air_0164b9927d20bcc3,2017-01-12,10,
air_0164b9927d20bcc3,2017-01-13,2,
air_0164b9927d20bcc3,2017-01-14,9,
air_0164b9927d20bcc3,2017-01-16,6,
air_0164b9927d20bcc3,2017-01-17,6,
air_0164b9927d20bcc3,2017-01-19,2,
air_0164b9927d20bcc3,2017-01-20,2,
air_0164b9927d20bcc3,2017-01-23,11,
air_0164b9927d20bcc3,2017-01-24,5,
air_0164b9927d20bcc3,2017-01-25,2,
air_0164b9927d20bcc3,2017-01-26,16,
air_0164b9927d20bcc3,2017-01-27,1,
air_0164b9927d20bcc3,2017-01-31,13,
air_0164b9927d20bcc3,2017-02-01,8,
air_0164b9927d20bcc3,2017-02-06,4,
air_0164b9927d20bcc3,2017-02-07,10,
air_0164b9927d20bcc3,2017-02-08,5,
air_0164b9927d20bcc3,2017-02-09,13,
air_0164b9927d20bcc3,2017-02-10,5,
air_0164b9927d20bcc3,2017-02-15,2,
air_0164b9927d20bcc3,2017-02-18,9,
air_0164b9927d20bcc3,2017-02-20,1,
air_0164b9927d20bcc3,2017-02-21,6,
air_0164b9927d20bcc3,2017-02-24,4,
air_0164b9927d20bcc3,2017-02-27,2,
air_0164b9927d20bcc3,2017-02-28,2,
air_0164b9927d20bcc3,2017-03-01,4,
air_0164b9927d20bcc3,2017-03-02,6,
air_0164b9927d20bcc3,2017-03-03,3,
air_0164b9927d20bcc3,2017-03-06,4,
air_0164b9927d20bcc3,2017-03-07,3,
air_0164b9927d20bcc3,2017-03-08,6,
air_0164b9927d20bcc3,2017-03-10,6,
air_0164b9927d20bcc3,2017-03-13,11,
air_0164b9927d20bcc3,2017-03-14,6,
air_0164b9927d20bcc3,2017-03-17,9,
air_0164b9927d20bcc3,2017-03-22,11,
air_0164b9927d20bcc3,2017-03-24,14,
air_0164b9927d20bcc3,2017-03-27,8,
air_0164b9927d20bcc3,2017-03-28,2,
air_0164b9927d20bcc3,2017-03-29,4,
air_0164b9927d20bcc3,2017-03-30,8,
air_0164b9927d20bcc3,2017-03-31,4,
air_0164b9927d20bcc3,2017-04-03,8,
air_0164b9927d20bcc3,2017-04-05,10,
air_0164b9927d20bcc3,2017-04-12,1,
air_0164b9927d20bcc3,2017-04-13,9,
air_0164b9927d20bcc3,2017-04-21,26,
air_0164b9927d20bcc3,2017-04-25,3,
air_0164b9927d20bcc3,2017-04-26,2,
air_0164b9927d20bcc3,2017-04-27,4,
air_0164b9927d20bcc3,2017-05-01,3,
air_0164b9927d20bcc3,2017-05-02,2,
air_0164b9927d20bcc3,2017-05-05,2,
air_0164b9927d20bcc3,2017-05-09,3,
air_0164b9927d20bcc3,2017-05-13,10,
air_034a3d5b40d5b1b1,2016-10-29,3,
air_034a3d5b40d5b1b1,2016-11-02,2,
air_034a3d5b40d5b1b1,2016-11-05,4,
air_034a3d5b40d5b1b1,2016-11-10,2,
air_034a3d5b40d5b1b1,2016-11-12,2,
air_034a3d5b40d5b1b1,2017-01-06,5,
air_034a3d5b40d5b1b1,2017-02-03,3,
air_034a3d5b40d5b1b1,2017-02-14,5,
air_034a3d5b40d5b1b1,2017-02-19,50,
air_034a3d5b40d5b1b1,2017-02-26,9,
air_034a3d5b40d5b1b1,2017-03-12,3,
air_034a3d5b40d5b1b1,2017-03-18,3,
air_034a3d5b40d5b1b1,2017-04-08,2,
air_03963426c9312048,2016-01-07,17,
air_03963426c9312048,2016-01-08,62,
air_03963426c9312048,2016-01-09,54,
air_03963426c9312048,2016-01-10,15,
air_03963426c9312048,2016-01-11,24,
air_03963426c9312048,2016-01-12,16,
air_03963426c9312048,2016-01-13,6,
air_03963426c9312048,2016-01-14,17,
air_03963426c9312048,2016-01-15,70,
air_03963426c9312048,2016-01-16,14,
air_03963426c9312048,2016-01-17,36,
air_03963426c9312048,2016-01-18,31,
air_03963426c9312048,2016-01-20,10,
air_03963426c9312048,2016-01-21,39,
air_03963426c9312048,2016-01-22,53,
air_03963426c9312048,2016-01-23,61,
air_03963426c9312048,2016-01-24,9,
air_03963426c9312048,2016-01-25,34,
air_03963426c9312048,2016-01-26,39,
air_03963426c9312048,2016-01-27,14,
air_03963426c9312048,2016-01-28,32,
air_03963426c9312048,2016-01-29,53,
air_03963426c9312048,2016-01-30,65,
air_03963426c9312048,2016-01-31,14,
air_03963426c9312048,2016-02-01,14,
air_03963426c9312048,2016-02-02,24,
air_03963426c9312048,2016-02-03,2,
air_03963426c9312048,2016-02-04,2,
air_03963426c9312048,2016-02-06,58,
air_03963426c9312048,2016-02-07,5,
air_03963426c9312048,2016-02-10,32,
air_03963426c9312048,2016-02-11,15,
air_03963426c9312048,2016-02-12,60,
air_03963426c9312048,2016-02-13,43,
air_03963426c9312048,2016-02-14,10,
