air_store_id,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_00a91d42b08b08d9,1,22.45714286,19,47,35,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951
air_0164b9927d20bcc3,2,7.5,6,19,20,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_0241aa3964b7f861,2,8.920634921,8,23,63,Izakaya,Tōkyō-to Taitō-ku Higashiueno,35.712607,139.7799956
air_0328696196e46f18,2,6.416666667,4,27,12,Dining bar,Ōsaka-fu Ōsaka-shi Nakanochō,34.7012792,135.5280905
air_034a3d5b40d5b1b1,1,11.86486486,10,66,37,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōhiraki,34.6923371,135.4722289
air_036d4f1ee7285390,4,19.6,19,38,40,Cafe/Sweets,Hyōgo-ken Takarazuka-shi Tōyōchō,34.7997673,135.3600729
air_0382c794b73b51ad,1,20.79545455,21,47,44,Cafe/Sweets,Tōkyō-to Setagaya-ku Okusawa,35.6021252,139.6719581
air_03963426c9312048,2,26.03030303,26,70,66,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_04341b588bde96cd,5,35.41791045,33,76,67,Izakaya,Tōkyō-to Nerima-ku Toyotamakita,35.7356234,139.6516577
air_049f6d5b402a31b2,2,9.027777778,9,20,36,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_04cae7c1bc9b2a0b,2,14.48780488,12,37,41,Izakaya,Hokkaidō Sapporo-shi Kotoni 2 Jō,43.0744699,141.3008887
air_0585011fa179bcce,1,3.351351351,3,9,37,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_05c325d315cc17f5,3,19.94029851,20,42,67,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,33.5892157,130.3928134
air_0647f17b4dc041c8,11,32.23809524,32,61,42,Cafe/Sweets,Tōkyō-to Musashino-shi Kichijōji Honchō,35.704686,139.5754071
air_064e203265ee5753,4,17.27027027,16,33,37,Cafe/Sweets,Hyōgo-ken Nishinomiya-shi Rokutanjichō,34.7375965,135.3415643
air_066f0221b8a4d533,1,10.85,9,30,40,Izakaya,Fukuoka-ken Fukuoka-shi Hakata Ekimae,33.5913576,130.4148783
air_06f95ac5c33aca10,2,2.5,2,4,4,Izakaya,Tōkyō-to Kōtō-ku Tōyō,35.6728535,139.8174097
air_0728814bd98f7367,1,7.803030303,6.5,22,66,Western food,Tōkyō-to Suginami-ku Asagayaminami,35.6995657,139.6364379
air_0768ab3910f7967f,2,19.3125,15.5,45,16,Dining bar,Tōkyō-to Meguro-ku Kamimeguro,35.6414629,139.6981712
air_07b314d83059c4d2,10,26.73809524,25.5,60,42,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_07bb665f9cdfbdfb,2,30.61403509,29,95,57,Other,Ōsaka-fu Ōsaka-shi Ōgimachi,34.7053617,135.5100252
air_082908692355165e,2,44.95238095,47,86,63,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.7035494
air_083ddc520ea47e1e,1,8.2,7,18,40,Cafe/Sweets,Fukuoka-ken Itoshima-shi Maebarunishi,33.5573203,130.195555
air_0845d8395f30c6bb,1,12.05128205,11,29,39,Dining bar,Tōkyō-to Tachikawa-shi Izumichō,35.7140142,139.4078431
air_084d98859256acf0,2,12.12121212,13,25,33,Izakaya,Tōkyō-to Kōtō-ku Tomioka,35.6712704,139.7969871
air_0867f7bebad6a649,2,13.96774194,12,62,31,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176
air_08ba8cd01b3ba010,1,4.824561404,3,21,57,Izakaya,Miyagi-ken Sendai-shi Kamisugi,38.2690761,140.8704029
air_08cb3c4ee6cd6a22,4,11.64285714,10.5,38,42,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,34.7569503,134.8411775
air_08ef81d5b7a0d13f,3,11.80645161,11,23,31,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614
air_08f994758a1e76d4,6,28.3902439,28,62,41,Yakiniku/Korean food,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.7040506
air_09040f6df960ddb8,4,15,16,20,5,Cafe/Sweets,Tōkyō-to Meguro-ku Jiyūgaoka,35.6092076,139.6693609
air_0919d54f0c9a24b8,3,46.5,46,305,38,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992
air_09661c0f3259cc04,8,26.675,24.5,48,40,Dining bar,Tōkyō-to Toshima-ku Minamiikebukuro,35.7261178,139.7166049
air_09a845d5b5944b01,2,8.147540984,6,48,61,Izakaya,Fukuoka-ken Kurume-shi Jōnanmachi,33.3192865,130.5083735
air_09fd1f5c58583141,1,8.333333333,9.5,13,6,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.5098009
air_0a74a5408a0b8642,7,28.02439024,26,49,41,Western food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.0554601,141.3409556
air_0b184ec04c741a6a,1,10.52631579,10,35,57,Japanese food,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614
air_0b1e72d2d4422b20,3,15.4,8,54,15,Izakaya,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,37.9163674,139.0363265
air_0b9038300f8b2b50,2,10.34146341,10,23,41,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.6532473
